word	ipa
angkear	ʔ ɑ ŋ . k ie
angkeas	ʔ ɑ ŋ . k ie h
angkob	ʔ ɑ ŋ . k u p
angkong	ʔ ɑ ŋ . k u ŋ
angkor	ʔ ɑ ŋ . k ɔɔ
angkornet	ʔ ɑ ŋ . k ɔɔ . n ɛɛ t
angkrang	ʔ ɑ ŋ . k r ɑɑ ŋ
angkrong	ʔ ɑ ŋ . k r ɔɔ ŋ
angkum	ʔ ɑ ŋ . k u m
angkunh	ʔ ɑ ŋ . k u ɲ
angkuonh	ʔ ɑ ŋ . k uə ɲ
angrae	ʔ ɑ ŋ . r ɛɛ
angrut	ʔ ɑ ŋ . r u t
angvae	ʔ ɑ ŋ . w ɛɛ
angveah	ʔ ɑ ŋ . w ea h
anh	ʔ a ɲ
anhaseh	ʔ a ɲ . ɲ aa . s e h
anhchanh	ʔ a ɲ . c aa ɲ
anhcheaeng	ʔ a ɲ . c ae ŋ
anhchit	ʔ a ɲ . c ɨ t
anhchoar	ʔ a ɲ . c ɔɔ
animation	ʔ ɛɛ n . n ii . m ee . s ə n
anina	ʔ aa . n ii . n aa
aniston	ʔ aa . n ii . s t o n
anixter	ʔ aa . n ɨ c . s t əə
ank	ʔ ɛɛ ŋ
anlok	ʔ ɑ n . l uə k
anlong	ʔ ɑ n . l u ŋ
anloung	ʔ ɑ n . l uu ŋ
anlung	ʔ ɑ n . l uu ŋ
anne	ʔ ɛɛ n . n ii
anner	ʔ ɛɛ n . n əə
ansa	ʔ ɑ n . s aa
ansae	ʔ ɑ n . s ae
ansaeap	ʔ aa n . s iə p
ansam	ʔ ɑ n . s ɑɑ m
ansang	ʔ ɑ n . s ɑɑ ŋ
ansaong	ʔ ɑ n . s ao ŋ
ant	ʔ ɛɛ n
antangkon	ʔ ɑ n . ɗ ɑ ŋ . k u n
anteah	ʔ ɑ n . t ea h
anteak	ʔ ɑ n . t ea k
anteav	ʔ ɑ n . t ie w
antero	ʔ ɛɛ n . th əə . r oo
anthem	ʔ ɛɛ n . s ii m
anthony	ʔ ɛɛ n . th oo . n ii
antit	ʔ ɑ n . t ɨ t
antivirus	ʔ ɛɛ n . t ii . w aa j . r ə h
antonio	ʔ ɛɛ n . th oo . n ii . ɲ oo
antor	ʔ ɑ n . t ɔɔ
antreak	ʔ ɑ n . t r ie k
antreh	ʔ ɑ n . t r e h
antuel	ʔ ɑ n . t ɨ l
antung	ʔ ɑ n . t u ŋ
antwerp	ʔ aa n . w əə p
anuk	ʔ aa . n uu k
anwar	ʔ a n . w ɑɑ
ao	ʔ ao
aob	ʔ ao p
aoi	ʔ ee . ʔ oo . ʔ aa j
aok	ʔ ao k
aolaok	ʔ ao . l ao k
aomal	ʔ ao . m a l
aon	ʔ ao n
aong	ʔ ao ŋ
aongkar	ʔ ao ŋ . k aa
aopheasang	ʔ ao . ph ie . s a ŋ
aoral	ʔ ao . r a l
ap	ʔ ee . ph ii
apache	ʔ aa . p a c
apartment	ʔ aa . ph aa t . m ə n
apartments	ʔ aa . ph a th . m ə n
apiwat	ʔ a k . ph i ʔ . w oa t
apk	ʔ ee . ph ii . kh ee
apollo	ʔ aa . p oo . l oo
apostle	ʔ aa . p oo . s t ɑɑ l
app	ʔ ɛɛ p
apparel	ʔ aa . ph aa . r ɛɛ l
apple	ʔ ɛɛ p . ph ɑɑ l
application	ʔ ɛɛ p . p l ii . kh ee . s ə n
applications	ʔ ɛɛ p . p l ii . kh ee . s ə n
applied	ʔ ə p . p l aa j
apply	ʔ aa . p l aa j
aptargroup	ʔ ɛɛ p . th aa . g r u p
aquarelle	ʔ aa . k w aa . r ɛɛ l
ar	ʔ aa
araen	ʔ aa . r ae n
aramark	ʔ aa . r aa . m aa k
arang	ʔ aa . r ɑɑ ŋ
aranh	ʔ aa . r a ɲ
arc	ʔ aa k
arcbest	ʔ aa k . ɓ ɛ h
arcelona	ʔ aa . s ee . l oo . n aa
arch	ʔ aa ch
archer	ʔ aa . ch əə
archi	ʔ aa . kh ii
archimedes	ʔ aa . kh ii . m ee . ɗ ɛɛ h
archipelago	ʔ aa . kh ii . p ee . l aa . g oo
archive	ʔ aa . k aa j
archun	ʔ ɑɑ . c uu n
are	ʔ aa
areaks	ʔ aa . r ea k
arei	ʔ aa . r ə j
arena	ʔ aa . r ee . n aa
argentina	ʔ aa . c ɛɛ n . th ii . n aa
argon	ʔ aa . g o n
ariel	ʔ aa . r iə l
aristotle	ʔ aa . r ii . s t oo t
arm	ʔ aa m
armenian	ʔ aa . m ee . n iə n
armour	ʔ aa . m əə
armstrong	ʔ aa m . s t r ɑɑ ŋ
army	ʔ aa . m ii
arn	ʔ aa n
arnaud	ʔ aa . n ɑɑ t
arnault	ʔ aa . n o l
arnett	ʔ aa . n ee t
arney	ʔ aa . n ə j
arnold	ʔ aa . n o l
arpa	ʔ aa . p aa
array	ʔ aa . r ee
arris	ʔ aa . r i h
arrow	ʔ aa . r oo
arsenal	ʔ aa . s əə . n ɑɑ l
arsene	ʔ aa . s ee n
art	ʔ aa t
arthur	ʔ aa . th uə
artikelmajalah	ʔ aa . t ii . k ee l . m aa . j aa . l aa h
arts	ʔ aa t
asbury	ʔ a s . ɓ əə . r ii
ascena	ʔ aa h . s ee . n aa
ase	ʔ ee . ʔ ɛɛ s . ʔ ii
asen	ʔ aa . s ɛɛ n
ashland	ʔ aa h . s l ɛɛ n
ashley	ʔ aa s . l ii
ashwood	ʔ aa s . w uu t
asia	ʔ aa . z ii
asianbookie	ʔ aa . s iə n . ɓ u k . kh ii
ask	ʔ aa h
assignment	ʔ aa . s aa ɲ . m ə n
associates	ʔ aa . s oo . s ii . ʔ ee t
assurant	ʔ aa . s uə . r ə n
asus	ʔ ee . s u h
at	ʔ a t
ata	ʔ aa . t aa
ateav	ʔ aa . t ie w
ath	ʔ aa t
athens	ʔ aa . th ɛɛ n
athily	ʔ aa . th ii . l ii
atit	ʔ aa . t ɨ t
atkinson	ʔ aa t . kh ii n . s ə n
atletico	ʔ aa t . l ee . t ii . k oo
atmos	ʔ a t . m oo h
attery	ʔ aa . t əə . r ii
attila	ʔ aa . t ii . l aa
attorney	ʔ aa . th oo . n ii
auction	ʔ ɑɑ k . s ə n
audi	ʔ oo . ɗ ii
audio	ʔ oo . ɗ j oo
augustus	ʔ ɑɑ . g ə h . s t ə h
aurora	ʔ aa . r oo . r aa
auto	ʔ oo . t oo
autodesk	ʔ oo . t oo . ɗ ɛ h
autoliv	ʔ oo . t oo . l ii w
automatic	ʔ oo . t oo . m aa . t ɨ c
automation	ʔ oo . t oo . m ee . s ə n
automobiles	ʔ oo . t oo . m oo . ɓ aa j
automotive	ʔ oo . t oo . m oo . th ii w
autonation	ʔ oo . t oo . n ee . s ə n
autorun	ʔ oo . t oo . r a n
autos	ʔ oo . t oo
autozone	ʔ oo . t oo . z oo n
av	ʔ ee . w ii
avaya	ʔ aa . w aa . j aa
avd	ʔ ee . w ii . ɗ ii
avery	ʔ aa . w əə . r ii
avis	ʔ aa . w ii h
avon	ʔ ee . w o n
awards	ʔ aa . w əə t
axis	ʔ aa . s i h
axle	ʔ ɛɛ k . s ɑɑ l
ay	ʔ aa j
ayean	ʔ aa . j ie n
az	ʔ ee . z ii
azharuddin	ʔ aa . z aa . r uu . ɗ ii n
aziz	ʔ aa . z i h
azure	ʔ aa . z uə . r ii
b	ɓ ii
b'er	ɓ ʔ ee
b'ier	ɓ ʔ iə
ba	ɓ aa
baboh	ɓ ɔ . ɓ o h
babos	ɓ ɑ . ɓ o h
baccarat	ɓ a c . c aa . r a t
bach	ɓ ɛɛ c
bacham	ɓ ɑɑ . c aa m
bachchan	ɓ a c . c a n
background	ɓ ɛɛ k . g r ao n
badak	ɓ aa . ɗ aa k
badin	ɓ ɑɑ . ɗ ɨ n
baek	ɓ ae k
baen	ɓ ae n
baeng	ɓ ae ŋ
baeuk	ɓ aə k
baeun	ɓ aə n
bai	ɓ a j
baidu	ɓ a j . ɗ uu
bak	ɓ a k
bakan	ɓ aa . k aa n
bakav	ɓ aa . k aa w
baker	ɓ ee k . kh əə
bakham	ɓ aa . kh ɑɑ m
bakong	ɓ aa . k ɔɔ ŋ
bakr	ɓ aa k
baksei	ɓ a k . s ə j
baku	ɓ aa . k uu
bakur	ɓ aa . k uu
bal	ɓ a l
balaingk	ɓ a l . l a ŋ
balang	ɓ a l . l a ŋ
balat	ɓ aa . l a t
bale	ɓ aa . l ee
baliley	p aa . l e ʔ . l a j
ball	ɓ ɑɑ l
ballangk	ɓ a l . l a ŋ
bambaek	ɓ ɑ m . ɓ ae k
bamnak	ɓ ɑ m . n ɑ k
bampenh	ɓ ɑ m . p ɨ ɲ
bampong	ɓ ɑ m . p u ŋ
ban	ɓ aa n
banak	ɓ aa . n ɑɑ k
banan	ɓ aa . n ɑ n
banang	ɓ aa . n ɑ ŋ
bancorp	ɓ ɛɛ n . kh ɑɑ p
bancshares	ɓ ɛɛ ŋ . s ɛə
band	ɓ ɛɛ n
bandaoy	ɓ ɑ n . ɗ ao j
banderas	ɓ ɛɛ n . ɗ əə . r a h
bandit	ɓ ɑ n . ɗ ɨ t
bandoh	ɓ ɑ n . ɗ o h
bang	ɓ a ŋ
bang'aek	ɓ ɑ ŋ . ʔ ae k
bang'aong	ɓ ɑ ŋ . ʔ ao ŋ
bangkaeun	ɓ ɑ ŋ . k aə n
bangkaeuy	ɓ ɑ ŋ . k aə j
bangkan	ɓ ɑ ŋ . k ɑɑ n
bangkang	ɓ ɑ ŋ . k ɑɑ ŋ
bangkaong	ɓ ɑ ŋ . k ao ŋ
bangkeab	ɓ ɑ ŋ . k ie p
bangkong	ɓ ɑ ŋ . k ɔɔ ŋ
bangkoul	ɓ ɑ ŋ . k oo l
bangkov	ɓ ɑ ŋ . k ɨ w
bangruh	ɓ ɑ ŋ . r u h
bangvaer	ɓ ɑ ŋ . w ae
banh	ɓ a ɲ
baniev	ɓ aa . n iə w
bank	ɓ ɛɛ ŋ
bankmandiri	ɓ ɛɛ ŋ . m ɛɛ n . ɗ ii . r ii
banks	ɓ ɛɛ ŋ
banla	ɓ ɑ n . l aa
banlae	ɓ ɑ n . l ae
banlech	ɓ ɑ n . l ə c
banlich	ɓ ɑ n . l ɨ c
banoy	ɓ aa . n ɑɑ j
bansay	ɓ ɑ n . s aa j
bantea	ɓ ɑ m . t ie
banteay	ɓ ɑ n . t ie j
bantoab	ɓ ɑ n . t oa p
bantoam	ɓ ɑ n . t oa m
bantoat	ɓ ɑ n . t oa t
baoh	ɓ ɑ h
baong	ɓ ao ŋ
baor	ɓ ao
baos	ɓ ao h
baoy	ɓ ao j
bapol	ɓ ɑɑ . p u l
bar	ɓ ɑɑ
barack	ɓ aa . r a k
baraeng	ɓ aa . r ae ŋ
barang	ɓ aa . r a ŋ
baray	ɓ aa . r aa j
barcelona	ɓ aa . s ee . l oo . n aa
barclaycard	ɓ aa . k l ee . kh aa t
barclays	ɓ aa . k l ee
bard	ɓ aa t
bargains	ɓ aa . g ɛɛ n
baribour	ɓ ɑɑ . r e ʔ . ɓ oo
barivat	ɓ ɑɑ . r e ʔ . w a t
bariveas	ɓ ɑɑ . r e ʔ . w a h
barku	ɓ aa . k uu
barnes	ɓ aa n
barong	ɓ aa . r o ŋ
barra	ɓ aa . r aa
barrel	ɓ aa . r ɛɛ l
barrymore	ɓ aa . r ii . m oa
bas	ɓ a h
basaet	ɓ ɑɑ . s ae t
basak	ɓ aa . s a k
basedth	ɓ ɑɑ . s ae t
bat	ɓ a t
batdambang	ɓ a t . ɗ ɑ m . ɓ ɑɑ ŋ
bath	ɓ aa h
batheay	ɓ aa . th ie j
bati	ɓ aa . t ii
battachi	ɓ a t . t aa . c ii
battambang	ɓ a t . ɗ ɑ m . ɓ ɑɑ ŋ
bauhaus	ɓ a w . h a w
bavel	ɓ ɑɑ . w ə l
bavet	ɓ aa . w ə t
baxter	ɓ ɛɛ k . th əə
bay	ɓ aa j
bayab	ɓ aa . j aa p
bayern	ɓ ee . j əə n
bdei	ɓ ɗ ə j
bdiek	p ɗ iə k
be	ɓ e ʔ
beacon	ɓ ɛɛ . kh o n
beauty	ɓ ii . j uu . th ii
beckinsale	ɓ ɛɛ k . ʔ ii n . s ee l
becton	ɓ ee k . t o n
bed	ɓ ɛɛ t
beep	ɓ ii p
beer	ɓ iə
beethoven	ɓ ee . th oo . w ɨ n
bei	ɓ ə j
beichoan	ɓ ə j . c oa n
bek	ɓ ae k
bektleay	ɓ ae k . t l ie j
bel	ɓ ə l
belden	ɓ ɛɛ l . ɗ ə n
belk	ɓ ɛɛ l
bell	ɓ ɛɛ l
beloit	ɓ ɛɛ . l ɔɔ j
bemis	ɓ ee . m ii h
ben	ɓ ə n
benchmark	ɓ ɛɛ n . c m aa k
bendei	ɓ ə n . ɗ ə j
beng	ɓ ee ŋ
benjamin	ɓ ɛɛ n . j aa . m ii n
bentley	ɓ ɛɛ n . t l ii
berkley	ɓ əə . k l ii
berkshire	ɓ əə k . s iə
berlin	ɓ əə . l ii n
bernard	ɓ əə . n aa t
berry	ɓ əə . r ii
best	ɓ ɛɛ h
bet	ɓ ə t
beverage	ɓ ii . w əə . r ee c
beyond	ɓ ii . j ɑɑ ɲ
bezos	ɓ ee . z oo h
bharti	ɓ aa . th ii
bible	ɓ aa j . ɓ ɑɑ l
bid	ɓ ii t
bidvertiser	ɓ i t . w əə . th aa j . z əə
bie	ɓ iə
big	ɓ ii k
bike	ɓ a j
bill	ɓ ii l
bin	ɓ ii n
bing	ɓ ii ŋ
bingo	ɓ ii ŋ . g oo
bio	ɓ aa j . ʔ oo
biogen	ɓ aa j . ʔ oo . c ɛɛ n
biomet	ɓ aa j . ʔ oo . m ɛɛ t
biphim	ɓ aa j . ph ii m
bismarck	ɓ ii s . m a k
bit	ɓ ii t
biz	ɓ ii h
black	ɓ l ɛɛ k
blackfriday	ɓ l ɛɛ k . f r aa j . ɗ ee
blackrock	ɓ l ɛɛ k . r ɑ k
blackstone	ɓ l ɛɛ k . s t oo n
blankfein	ɓ l ɛɛ ŋ . f ee n
blatter	ɓ l ɛɛ t . th əə
blavatnik	ɓ l aa . w a t . n ii k
blizzard	ɓ l i h . z aa t
block	ɓ l ɑ k
blog	ɓ l o k
blogger	ɓ l ɑ k . g əə
blogmarketingsea	ɓ l ɑ k . m aa . kh ii . th ii ŋ . s ii
blogspot	ɓ l ɑ k . s p ɑ t
bloom	ɓ l uu m
bloomberg	ɓ l uu m . ɓ əə k
bloomin	ɓ l uu . m ii n
blue	ɓ l uu
board	ɓ ɑɑ t
boats	ɓ oo t
bocorantogel	ɓ oo . k oo . r ɛɛ n . th oo . g ɑɑ l
body	ɓ ɑɑ . ɗ ii
boeing	ɓ oo . ʔ ii ŋ
boeng	ɓ ə ŋ
boeung	ɓ ə ŋ
boh	ɓ ɑ h
boise	ɓ ɔɔ j
bok	ɓ o k
bol	ɓ o l
bola	ɓ oo . l aa
bon	ɓ o n
bonaparte	ɓ oo . n aa . p aa t
bond	ɓ o n
bongacams	ɓ o n . g aa . kh ɛɛ m
bongdaplus	ɓ ɑ ŋ . ɗ aa . p l a h
bongkol	ɓ ɑ ŋ . k oo l
bongthom	ɓ ɑɑ ŋ . th u m
bonna	ɓ o n . n aa
boo	ɓ oo
book	ɓ u k
booking	ɓ u k . kh ii ŋ
boolean	ɓ oo . l ii n
boomjo	ɓ uu m . c oo
boots	ɓ uu t
booz	ɓ uu h
borei	ɓ oo . r ə j
borgwarner	ɓ ɑɑ k . w ɑɑ . n əə
bos	ɓ o h
bosbov	ɓ o h . s ɓ ə w
boss	ɓ o h
boston	ɓ oo s . t o n
bot	ɓ ɑ t
botrei	ɓ o t . t r ə j
botum	ɓ o ʔ . t u m
bou	ɓ oo
bouk	ɓ oo k
boun	ɓ uu n
bour	ɓ oo
bourei	ɓ oo . r ə j
boureirom	ɓ oo . r ə j . r u m
bout	ɓ oo t
boutique	ɓ uu . th ii k
bowes	ɓ oo w
boyd	ɓ ɔɔ j
boys	ɓ ɔɔ j
brabos	p r ɑ . ɓ o h
brad	ɓ r ɛɛ t
bradesco	ɓ r ɛɛ . ɗ ɛɛ s . k oo
bradley	ɓ r ɛɛ t . l ii
brake	ɓ r ee k
brando	ɓ r ɛɛ n . ɗ oo
brands	ɓ r ɛɛ n
braseth	p r ɑ . s ə t
brasva	p r ɑ . s w aa
braval	p r ɑ . w aa l
bread	ɓ r ɛɛ t
brendan	ɓ r ɛɛ n . ɗ ə n
brennan	ɓ r ɛɛ n . n a n
brewing	ɓ r uu . w ii ŋ
bridge	ɓ r ii c
bridgestone	ɓ r ɨ c . s t oo n
brin	ɓ r ii n
brink	ɓ r ii ŋ
brinker	ɓ r ii ŋ . kh əə
bristol	ɓ r ii s . t oo l
broadcast	ɓ r ɑɑ t . kh ɛ h
broadcom	ɓ r ɑɑ t . kh ɑ m
broadridge	ɓ r ɑɑ t . r ii c
brocade	ɓ r oo . c ee t
broccoli	p r oo . kh oo . l ii
brohut	p r ɑ . h uu t
broker	ɓ r oo k . kh əə
